label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N538_K512_GF8_TT2T026_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,538,512,8,1.550000,560.294816,685.202271,1.042558
N554_K512_GF8_TT2T042_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,554,512,8,1.550000,10878.75009,0.268555,5.87689
N518_K512_GF8_TT2T006_CLK1.550ns_TT_rs_syndrome,rs_syndrome,518,512,8,1.550000,82.55196,1004.522034,0.108924
N524_K512_GF8_TT2T012_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,524,512,8,1.550000,266.289118,833.901062,0.487783
N528_K512_GF8_TT2T016_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,528,512,8,1.550000,9223.264021,3.819458,4.388538
N538_K512_GF8_TT2T026_CLK1.550ns_TT_rs_syndrome,rs_syndrome,538,512,8,1.550000,349.730458,758.262268,0.489691
N534_K512_GF8_TT2T022_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,534,512,8,1.550000,480.265197,642.842529,0.891391
N536_K512_GF8_TT2T024_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,536,512,8,1.550000,517.502517,578.628662,0.959865
N540_K512_GF8_TT2T028_CLK1.550ns_TT_rs_syndrome,rs_syndrome,540,512,8,1.550000,375.537058,919.710083,0.52555
N542_K512_GF8_TT2T030_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,542,512,8,1.550000,10125.211964,1.90686,5.255987
N548_K512_GF8_TT2T036_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,548,512,8,1.550000,770.990395,693.364929,1.429848
N550_K512_GF8_TT2T038_CLK1.550ns_TT_rs_syndrome,rs_syndrome,550,512,8,1.550000,505.022037,624.891235,0.704334
N552_K512_GF8_TT2T040_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,552,512,8,1.550000,10750.591892,0.01416,5.77031
N558_K512_GF8_TT2T046_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,558,512,8,1.550000,980.111334,539.995178,1.818859
N560_K512_GF8_TT2T048_CLK1.550ns_TT_rs_syndrome,rs_syndrome,560,512,8,1.550000,638.837277,555.4776,0.896254
N562_K512_GF8_TT2T050_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,562,512,8,1.550000,11382.43076,0.101318,6.301228
N566_K512_GF8_TT2T054_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,566,512,8,1.550000,1146.177533,502.930786,2.12222
N568_K512_GF8_TT2T056_CLK1.550ns_TT_rs_syndrome,rs_syndrome,568,512,8,1.550000,743.069696,757.38324,1.04297
N570_K512_GF8_TT2T058_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,570,512,8,1.550000,11879.73997,0.331665,6.719363
N574_K512_GF8_TT2T062_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,574,512,8,1.550000,1318.848472,568.584961,2.455219
N576_K512_GF8_TT2T064_CLK1.550ns_TT_rs_syndrome,rs_syndrome,576,512,8,1.550000,851.894815,603.174988,1.20381
N578_K512_GF8_TT2T066_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,578,512,8,1.550000,12384.703681,0.438721,7.155235
N582_K512_GF8_TT2T070_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,582,512,8,1.550000,1491.694371,442.505005,2.782588
N584_K512_GF8_TT2T072_CLK1.550ns_TT_rs_syndrome,rs_syndrome,584,512,8,1.550000,959.743075,623.132202,1.361068
N586_K512_GF8_TT2T074_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,586,512,8,1.550000,12901.156432,0.734985,7.596638
N590_K512_GF8_TT2T078_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,590,512,8,1.550000,1660.26833,520.173889,3.089391
N592_K512_GF8_TT2T080_CLK1.550ns_TT_rs_syndrome,rs_syndrome,592,512,8,1.550000,1069.457574,738.905579,1.525125
N594_K512_GF8_TT2T082_CLK1.550ns_TT_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,594,512,8,1.550000,13406.105562,0.220337,8.022008
N598_K512_GF8_TT2T086_CLK1.550ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,598,512,8,1.550000,1835.140849,373.309937,3.418241
