target_post_BER,input_preFEC_BER,n,k,m,t,rate,post_ber_est,note
1e-12,0.0001,1023,999,10,12,0.9765395894428153,4.984457609638512e-13,
1e-12,3.1622776601683795e-05,1023,1007,10,8,0.9843597262952102,3.412017132820668e-13,
1e-12,1e-05,1023,1011,10,6,0.9882697947214076,7.145524764780463e-14,
1e-12,3.162277660168379e-06,1023,1015,10,4,0.9921798631476051,6.963061610217673e-13,
1e-12,1e-06,1023,1017,10,3,0.9941348973607038,8.801759515461353e-13,
1e-12,3.162277660168379e-07,1023,1017,10,3,0.9941348973607038,8.84796886824136e-15,
1e-12,1e-07,1023,1019,10,2,0.9960899315738025,2.6068782698638945e-13,
1e-12,3.162277660168379e-08,1023,1019,10,2,0.9960899315738025,8.247514254602253e-15,
1e-12,1e-08,1023,1019,10,2,0.9960899315738025,2.6084773013599686e-16,
1e-12,3.1622776601683795e-09,1023,1021,10,1,0.9980449657869013,5.109917370210332e-13,
1e-12,1e-09,1023,1021,10,1,0.9980449657869013,5.109973624498903e-14,
1e-12,3.1622776601683795e-10,1023,1021,10,1,0.9980449657869013,5.109989962443258e-15,
1e-12,1e-10,1023,1021,10,1,0.9980449657869013,5.109998236951214e-16,
1e-12,3.1622776601683794e-11,1023,1021,10,1,0.9980449657869013,5.1100117390841654e-17,
1e-12,1e-11,1023,1021,10,1,0.9980449657869013,5.110000584740396e-18,
1e-12,3.1622776601683794e-12,1023,1021,10,1,0.9980449657869013,5.109904839806032e-19,
1e-12,1e-12,1023,1021,10,1,0.9980449657869013,5.1097738924355747e-20,
1e-12,3.162277660168379e-13,1023,1021,10,1,0.9980449657869013,5.108828559209876e-21,
1e-12,1e-13,1023,1021,10,1,0.9980449657869013,5.113178351272201e-22,
1e-12,3.1622776601683796e-14,1023,1021,10,1,0.9980449657869013,5.116006407076205e-23,
1e-12,1e-14,1023,1021,10,1,0.9980449657869013,5.101834644739564e-24,
1e-12,3.1622776601683794e-15,1023,1021,10,1,0.9980449657869013,4.938072051378225e-25,
1e-12,1e-15,1023,1021,10,1,0.9980449657869013,5.101834644973768e-26,
1e-15,0.0001,1023,993,10,15,0.9706744868035191,1.8494852822109294e-16,
