target_post_BER,input_preFEC_BER,n,k,m,t,rate,post_ber_est,note
1e-20,0.001583984375,86,48,8,19,0.5581395348837209,9.808782916082355e-21,
1e-20,0.0013359374999999999,86,50,8,18,0.5813953488372093,9.910905906920971e-21,
1e-20,0.0011093750000000001,86,52,8,17,0.6046511627906976,9.829724730067622e-21,
1e-20,0.0009062499999999999,86,54,8,16,0.627906976744186,9.836105867953106e-21,
1e-20,0.0007255859375,86,56,8,15,0.6511627906976745,9.802651523166144e-21,
1e-20,0.0005673828125000001,86,58,8,14,0.6744186046511628,9.765592006984155e-21,
1e-20,0.00043164062500000006,86,60,8,13,0.6976744186046512,9.841708789989289e-21,
1e-20,0.00031738281249999996,86,62,8,12,0.7209302325581395,9.961580198127756e-21,
1e-20,0.00022314453124999998,86,64,8,11,0.7441860465116279,9.807123109278597e-21,
1e-20,0.00014892578125000002,86,66,8,10,0.7674418604651163,9.846891889657515e-21,
1e-20,9.27734375e-05,86,68,8,9,0.7906976744186046,9.891654030061553e-21,
1e-20,5.2795410156250006e-05,86,70,8,8,0.813953488372093,9.982445009135225e-21,
1e-20,2.6489257812500003e-05,86,72,8,7,0.8372093023255814,9.885696619977695e-21,
1e-20,1.11846923828125e-05,86,74,8,6,0.8604651162790697,9.978165343899944e-21,
1e-20,3.63922119140625e-06,86,76,8,5,0.8837209302325582,9.967321697964585e-21,
1e-20,7.867813110351563e-07,86,78,8,4,0.9069767441860465,9.997373501505203e-21,
1e-20,8.380413055419921e-08,86,80,8,3,0.9302325581395349,9.976961316180164e-21,
1e-20,2.216547727584839e-09,86,82,8,2,0.9534883720930233,9.952656284395522e-21,
1e-20,1.917214831337333e-12,86,84,8,1,0.9767441860465116,9.99824425756844e-21,
1e-20,1e-20,86,86,8,0,1.0,1e-20,no_fec
1e-15,0.004742187500000001,86,40,8,23,0.46511627906976744,9.656570681332555e-16,
1e-15,0.00425,86,42,8,22,0.4883720930232558,9.708995647767951e-16,
1e-15,0.00378125,86,44,8,21,0.5116279069767442,9.65479170323147e-16,
1e-15,0.0033437500000000004,86,46,8,20,0.5348837209302325,9.885389700590944e-16,
1e-15,0.0029296875,86,48,8,19,0.5581395348837209,9.98848185656552e-16,
1e-15,0.0025390624999999997,86,50,8,18,0.5813953488372093,9.89469076241738e-16,
1e-15,0.00217578125,86,52,8,17,0.6046511627906976,9.80704843539261e-16,
1e-15,0.00183984375,86,54,8,16,0.627906976744186,9.694361118581813e-16,
1e-15,0.00153515625,86,56,8,15,0.6511627906976745,9.881862551954692e-16,
1e-15,0.0012558593749999998,86,58,8,14,0.6744186046511628,9.811902996700605e-16,
1e-15,0.001005859375,86,60,8,13,0.6976744186046512,9.806380035307638e-16,
1e-15,0.00078515625,86,62,8,12,0.7209302325581395,9.853510561422792e-16,
1e-15,0.0005937500000000001,86,64,8,11,0.7441860465116279,9.948845720483494e-16,
1e-15,0.00043066406250000006,86,66,8,10,0.7674418604651163,9.880699875205276e-16,
1e-15,0.00029687500000000005,86,68,8,9,0.7906976744186046,9.890378400597158e-16,
1e-15,0.00019140625,86,70,8,8,0.813953488372093,9.968861438415513e-16,
1e-15,0.00011254882812499999,86,72,8,7,0.8372093023255814,9.99391476134991e-16,
1e-15,5.810546875e-05,86,74,8,6,0.8604651162790697,9.923566677988653e-16,
1e-15,2.4841308593750002e-05,86,76,8,5,0.8837209302325582,9.96486416990399e-16,
1e-15,7.87353515625e-06,86,78,8,4,0.9069767441860465,9.995750061971756e-16,
1e-15,1.4896392822265626e-06,86,80,8,3,0.9302325581395349,9.952956967590646e-16,
