label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N544_K512_GF8_TT2T032_CLK2.600ns_db_rs_syndrome,rs_syndrome,544,512,8,2.600000,5462.842061,1.460884,3.406013
N534_K512_GF8_TT2T022_CLK2.600ns_db_rs_encoder_wrapper,rs_encoder_wrapper,534,512,8,2.600000,6162.68805,1.021209,1.547162
N536_K512_GF8_TT2T024_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,536,512,8,4.000000,6630.582055,2.577205,1.090966
N540_K512_GF8_TT2T028_CLK4.000ns_db_rs_syndrome,rs_syndrome,540,512,8,4.000000,4809.812053,2.675964,1.932503
N542_K512_GF8_TT2T030_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,542,512,8,4.000000,153884.720692,0.984933,17.469021
N548_K512_GF8_TT2T036_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,548,512,8,4.000000,9811.94208,2.516955,1.607134
N550_K512_GF8_TT2T038_CLK4.000ns_db_rs_syndrome,rs_syndrome,550,512,8,4.000000,6447.574072,2.854191,2.564159
N552_K512_GF8_TT2T040_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,552,512,8,4.000000,162941.222522,0.742826,19.282522
N558_K512_GF8_TT2T046_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,558,512,8,4.000000,12490.562101,2.424125,2.039302
N560_K512_GF8_TT2T048_CLK4.000ns_db_rs_syndrome,rs_syndrome,560,512,8,4.000000,8148.644089,2.655112,3.898095
N562_K512_GF8_TT2T050_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,562,512,8,4.000000,171891.058357,0.840752,20.063093
N566_K512_GF8_TT2T054_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,566,512,8,4.000000,14582.918119,2.348776,2.3837
N568_K512_GF8_TT2T056_CLK4.000ns_db_rs_syndrome,rs_syndrome,568,512,8,4.000000,9471.462104,2.671222,4.39221
N570_K512_GF8_TT2T058_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,570,512,8,4.000000,179048.054223,0.712333,20.204027
N574_K512_GF8_TT2T062_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,574,512,8,4.000000,16773.960134,2.331117,2.726867
N576_K512_GF8_TT2T064_CLK4.000ns_db_rs_syndrome,rs_syndrome,576,512,8,4.000000,10851.470116,2.862355,4.395019
N578_K512_GF8_TT2T066_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,578,512,8,4.000000,186272.880087,0.91758,23.124849
N582_K512_GF8_TT2T070_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,582,512,8,4.000000,18972.184149,2.288941,3.072636
N584_K512_GF8_TT2T072_CLK4.000ns_db_rs_syndrome,rs_syndrome,584,512,8,4.000000,12222.43413,2.414513,2.709194
N586_K512_GF8_TT2T074_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,586,512,8,4.000000,193463.125959,0.686141,22.858246
N590_K512_GF8_TT2T078_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,590,512,8,4.000000,21097.258165,2.22105,3.415336
N592_K512_GF8_TT2T080_CLK4.000ns_db_rs_syndrome,rs_syndrome,592,512,8,4.000000,13616.540142,2.629173,6.66376
N594_K512_GF8_TT2T082_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,594,512,8,4.000000,200734.235822,0.836661,23.773569
N598_K512_GF8_TT2T086_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,598,512,8,4.000000,23307.98418,2.15726,3.759418
N600_K512_GF8_TT2T088_CLK4.000ns_db_rs_syndrome,rs_syndrome,600,512,8,4.000000,15009.848155,2.542008,3.401643
N602_K512_GF8_TT2T090_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,602,512,8,4.000000,207962.78569,0.878484,25.491951
N536_K512_GF8_TT2T024_CLK4.000ns_db_rs_syndrome,rs_syndrome,536,512,8,4.000000,4157.048045,2.861089,1.651011
N540_K512_GF8_TT2T028_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,540,512,8,4.000000,152072.994726,0.991991,17.602991
N546_K512_GF8_TT2T034_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,546,512,8,4.000000,9339.526075,2.525542,1.525447
N548_K512_GF8_TT2T036_CLK4.000ns_db_rs_syndrome,rs_syndrome,548,512,8,4.000000,6120.394068,2.833676,2.813877
N550_K512_GF8_TT2T038_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,550,512,8,4.000000,161101.56656,0.828373,20.322495
N556_K512_GF8_TT2T044_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,556,512,8,4.000000,11990.748096,2.266814,1.951408
N558_K512_GF8_TT2T046_CLK4.000ns_db_rs_syndrome,rs_syndrome,558,512,8,4.000000,7822.794085,2.635367,3.146817
N560_K512_GF8_TT2T048_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,560,512,8,4.000000,170109.656388,0.941233,19.848078
N564_K512_GF8_TT2T052_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,564,512,8,4.000000,14003.570116,2.407757,2.297651
N566_K512_GF8_TT2T054_CLK4.000ns_db_rs_syndrome,rs_syndrome,566,512,8,4.000000,9131.2481,2.496105,3.655461
N568_K512_GF8_TT2T056_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,568,512,8,4.000000,177246.968259,0.791232,22.361528
N572_K512_GF8_TT2T060_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,572,512,8,4.000000,16170.938132,2.27767,2.648206
N574_K512_GF8_TT2T062_CLK4.000ns_db_rs_syndrome,rs_syndrome,574,512,8,4.000000,10509.926113,2.782441,4.702068
N576_K512_GF8_TT2T064_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,576,512,8,4.000000,184528.452121,0.866941,20.82707
N580_K512_GF8_TT2T068_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,580,512,8,4.000000,18339.370147,2.440496,2.985827
N582_K512_GF8_TT2T070_CLK4.000ns_db_rs_syndrome,rs_syndrome,582,512,8,4.000000,11878.496126,2.672555,4.825595
N584_K512_GF8_TT2T072_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,584,512,8,4.000000,191637.035992,0.713288,22.62611
N588_K512_GF8_TT2T076_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,588,512,8,4.000000,20561.268162,2.232497,3.328087
N590_K512_GF8_TT2T078_CLK4.000ns_db_rs_syndrome,rs_syndrome,590,512,8,4.000000,13267.016139,2.357077,5.41779
N592_K512_GF8_TT2T080_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,592,512,8,4.000000,198887.663857,0.672053,23.575506
N596_K512_GF8_TT2T084_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,596,512,8,4.000000,22764.280176,2.313867,3.672086
N598_K512_GF8_TT2T086_CLK4.000ns_db_rs_syndrome,rs_syndrome,598,512,8,4.000000,14664.846152,2.599703,6.026429
N600_K512_GF8_TT2T088_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,600,512,8,4.000000,206160.369726,0.83652,25.218851
N534_K512_GF8_TT2T022_CLK2.600ns_db_rs_encoder_wrapper,rs_encoder_wrapper,534,512,8,2.600000,6162.68805,1.021209,1.547162
N536_K512_GF8_TT2T024_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,536,512,8,4.000000,148694.794765,1.017859,18.260656
N542_K512_GF8_TT2T030_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,542,512,8,4.000000,8232.168067,2.611155,1.354357
N546_K512_GF8_TT2T034_CLK4.000ns_db_rs_syndrome,rs_syndrome,546,512,8,4.000000,5790.820064,2.777535,2.298967
N548_K512_GF8_TT2T036_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,548,512,8,4.000000,159310.322592,0.820854,19.165718
N552_K512_GF8_TT2T040_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,552,512,8,4.000000,10908.926088,2.575035,1.778733
N556_K512_GF8_TT2T044_CLK4.000ns_db_rs_syndrome,rs_syndrome,556,512,8,4.000000,7486.038081,2.61857,1.634927
N558_K512_GF8_TT2T046_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,558,512,8,4.000000,168338.362422,0.94126,19.048306
N562_K512_GF8_TT2T050_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,562,512,8,4.000000,13547.38011,2.333944,2.217917
N564_K512_GF8_TT2T052_CLK4.000ns_db_rs_syndrome,rs_syndrome,564,512,8,4.000000,8795.556097,2.80275,3.606814
N566_K512_GF8_TT2T054_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,566,512,8,4.000000,175481.79229,0.820683,19.781139
N570_K512_GF8_TT2T058_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,570,512,8,4.000000,15656.228127,2.307879,2.56205
N572_K512_GF8_TT2T060_CLK4.000ns_db_rs_syndrome,rs_syndrome,572,512,8,4.000000,10165.19011,2.546247,4.541164
N574_K512_GF8_TT2T062_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,574,512,8,4.000000,182680.816155,0.917678,21.441071
N578_K512_GF8_TT2T066_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,578,512,8,4.000000,17915.63214,2.50875,2.90593
N580_K512_GF8_TT2T068_CLK4.000ns_db_rs_syndrome,rs_syndrome,580,512,8,4.000000,11535.090123,2.813914,5.237477
N582_K512_GF8_TT2T070_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,582,512,8,4.000000,189974.802012,0.86702,25.87751
N586_K512_GF8_TT2T074_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,586,512,8,4.000000,20079.010156,2.114054,3.248364
N588_K512_GF8_TT2T076_CLK4.000ns_db_rs_syndrome,rs_syndrome,588,512,8,4.000000,12913.502136,2.558361,2.873671
N590_K512_GF8_TT2T078_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,590,512,8,4.000000,197052.26389,0.676814,22.273319
N594_K512_GF8_TT2T082_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,594,512,8,4.000000,22291.332171,2.254836,3.593362
N596_K512_GF8_TT2T084_CLK4.000ns_db_rs_syndrome,rs_syndrome,596,512,8,4.000000,14321.972148,2.723416,5.86647
N598_K512_GF8_TT2T086_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,598,512,8,4.000000,204349.973758,0.760051,25.512558
N602_K512_GF8_TT2T090_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,602,512,8,4.000000,24383.954188,2.20253,3.938478
N534_K512_GF8_TT2T022_CLK2.600ns_db_rs_syndrome,rs_syndrome,534,512,8,2.600000,3830.932042,1.467246,2.344236
N540_K512_GF8_TT2T028_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,540,512,8,4.000000,7709.744063,2.650369,1.263447
N542_K512_GF8_TT2T030_CLK4.000ns_db_rs_syndrome,rs_syndrome,542,512,8,4.000000,5139.918057,2.789903,2.037185
N546_K512_GF8_TT2T034_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,546,512,8,4.000000,157512.428623,0.835213,17.832603
N550_K512_GF8_TT2T038_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,550,512,8,4.000000,10358.306085,2.392492,1.698582
N552_K512_GF8_TT2T040_CLK4.000ns_db_rs_syndrome,rs_syndrome,552,512,8,4.000000,6790.714075,2.819119,1.468136
N556_K512_GF8_TT2T044_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,556,512,8,4.000000,166569.196454,0.922357,20.645409
N560_K512_GF8_TT2T048_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,560,512,8,4.000000,13025.488105,2.403186,2.125152
N562_K512_GF8_TT2T050_CLK4.000ns_db_rs_syndrome,rs_syndrome,562,512,8,4.000000,8469.706093,2.762691,4.083483
N564_K512_GF8_TT2T052_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,564,512,8,4.000000,173699.060324,0.804665,20.287107
N568_K512_GF8_TT2T056_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,568,512,8,4.000000,15122.898123,2.278063,2.468868
N570_K512_GF8_TT2T058_CLK4.000ns_db_rs_syndrome,rs_syndrome,570,512,8,4.000000,9816.730107,2.57259,3.948702
N572_K512_GF8_TT2T060_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,572,512,8,4.000000,180841.958193,0.872242,21.203197
N576_K512_GF8_TT2T064_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,576,512,8,4.000000,17265.794139,2.222498,2.820286
N578_K512_GF8_TT2T066_CLK4.000ns_db_rs_syndrome,rs_syndrome,578,512,8,4.000000,11191.15212,2.630838,4.539414
N580_K512_GF8_TT2T068_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,580,512,8,4.000000,188055.612057,0.856094,22.155529
N584_K512_GF8_TT2T072_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,584,512,8,4.000000,19482.106154,2.09099,3.155953
N586_K512_GF8_TT2T074_CLK4.000ns_db_rs_syndrome,rs_syndrome,586,512,8,4.000000,12569.298133,2.475271,5.77851
N588_K512_GF8_TT2T076_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,588,512,8,4.000000,195220.321928,0.690319,23.7257
N592_K512_GF8_TT2T080_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,592,512,8,4.000000,21721.826168,2.371661,3.505291
N594_K512_GF8_TT2T082_CLK4.000ns_db_rs_syndrome,rs_syndrome,594,512,8,4.000000,13967.128145,2.648524,5.912156
N596_K512_GF8_TT2T084_CLK4.000ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,596,512,8,4.000000,202546.227791,0.737475,22.907152
N600_K512_GF8_TT2T088_CLK4.000ns_db_rs_encoder_wrapper,rs_encoder_wrapper,600,512,8,4.000000,23801.946186,2.315928,3.851965
N602_K512_GF8_TT2T090_CLK4.000ns_db_rs_syndrome,rs_syndrome,602,512,8,4.000000,15356.446158,2.548109,3.487265
N534_K512_GF8_TT2T022_CLK2.600ns_db_rs_decoder_plus_syndrome,rs_decoder_plus_syndrome,534,512,8,2.600000,146837.050822,0.000202,27.389484
