label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N86_K60_GF8_TT2T026_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,60,8,0.800000,348.082918,29.943665,0.942933
N86_K66_GF8_TT2T020_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,66,8,0.800000,436.291917,3.209961,1.569481
N86_K70_GF8_TT2T016_CLK0.800ns_TT_rs_decoder,rs_decoder,86,70,8,0.800000,2312.32963,0.86615,2.719046
N86_K76_GF8_TT2T010_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,76,8,0.800000,134.850419,255.760742,0.355566
N86_K82_GF8_TT2T004_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,82,8,0.800000,96.067619,132.523254,0.337133
N86_K40_GF8_TT2T046_CLK0.800ns_TT_rs_decoder,rs_decoder,86,40,8,0.800000,3820.820149,0.171387,5.354922
N86_K54_GF8_TT2T032_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,54,8,0.800000,426.013018,42.044922,1.151013
N86_K68_GF8_TT2T018_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,68,8,0.800000,243.048599,85.920105,0.657061
N86_K84_GF8_TT2T002_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,84,8,0.800000,53.61066,249.312744,0.17975
N86_K42_GF8_TT2T044_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,42,8,0.800000,940.030914,12.94751,3.379278
N86_K56_GF8_TT2T030_CLK0.800ns_TT_rs_decoder,rs_decoder,86,56,8,0.800000,3007.57692,0.227234,3.958826
N86_K70_GF8_TT2T016_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,70,8,0.800000,215.098739,1.007141,0.57971
N86_K84_GF8_TT2T002_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,84,8,0.800000,31.59486,343.663361,0.0752
N86_K44_GF8_TT2T042_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,44,8,0.800000,888.578095,2.453308,3.176384
N86_K58_GF8_TT2T028_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,58,8,0.800000,601.731176,16.330994,2.159988
N86_K72_GF8_TT2T014_CLK0.800ns_TT_rs_decoder,rs_decoder,86,72,8,0.800000,2206.945392,0.167114,2.527761
N86_K46_GF8_TT2T040_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,46,8,0.800000,530.332917,89.573059,1.435965
N86_K60_GF8_TT2T026_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,60,8,0.800000,558.778497,12.134216,2.014243
N86_K74_GF8_TT2T012_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,74,8,0.800000,264.437458,78.29425,0.939386
N86_K46_GF8_TT2T040_CLK0.800ns_TT_rs_decoder,rs_decoder,86,46,8,0.800000,3517.701953,0.219238,4.802343
N86_K62_GF8_TT2T024_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,62,8,0.800000,322.349218,103.602844,0.877247
N86_K76_GF8_TT2T010_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,76,8,0.800000,219.837239,157.379761,0.777517
N86_K48_GF8_TT2T038_CLK0.800ns_TT_rs_decoder,rs_decoder,86,48,8,0.800000,3421.663495,0.07074,4.637599
N86_K62_GF8_TT2T024_CLK0.800ns_TT_rs_decoder,rs_decoder,86,62,8,0.800000,2708.497385,0.005554,3.428655
N86_K78_GF8_TT2T008_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,78,8,0.800000,107.629559,305.066223,0.27908
N86_K52_GF8_TT2T034_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,52,8,0.800000,731.084935,3.504761,2.643149
N86_K64_GF8_TT2T022_CLK0.800ns_TT_rs_decoder,rs_decoder,86,64,8,0.800000,2614.004406,0.029602,3.263033
N86_K78_GF8_TT2T008_CLK0.800ns_TT_rs_decoder,rs_decoder,86,78,8,0.800000,1910.461096,0.057678,1.986018
N86_K52_GF8_TT2T034_CLK0.800ns_TT_rs_syndrome,rs_syndrome,86,52,8,0.800000,451.805038,71.427368,1.220405
N86_K68_GF8_TT2T018_CLK0.800ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,68,8,0.800000,390.437818,5.806213,1.402969
N86_K80_GF8_TT2T006_CLK0.800ns_TT_rs_decoder,rs_decoder,86,80,8,0.800000,1812.177318,0.068054,1.789199
