label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N86_K46_GF8_TT2T040_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,46,8,2.000000,530.332917,1215.997437,0.574396
N86_K48_GF8_TT2T038_CLK2.000ns_TT_rs_decoder,rs_decoder,86,48,8,2.000000,3324.152453,19.966919,1.856067
N86_K52_GF8_TT2T034_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,52,8,2.000000,730.180975,1194.790405,1.058235
N86_K54_GF8_TT2T032_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,54,8,2.000000,425.969278,1220.758545,0.460609
N86_K56_GF8_TT2T030_CLK2.000ns_TT_rs_decoder,rs_decoder,86,56,8,2.000000,2942.054399,24.87793,1.578835
N86_K60_GF8_TT2T026_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,60,8,2.000000,558.734756,1148.04248,0.806065
N86_K62_GF8_TT2T024_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,62,8,2.000000,322.349218,1303.602905,0.35095
N86_K64_GF8_TT2T022_CLK2.000ns_TT_rs_decoder,rs_decoder,86,64,8,2.000000,2568.441905,79.170776,1.302396
N86_K68_GF8_TT2T018_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,68,8,2.000000,390.627358,1140.946533,0.56078
N86_K70_GF8_TT2T016_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,70,8,2.000000,215.157059,1251.681641,0.23186
N86_K72_GF8_TT2T014_CLK2.000ns_TT_rs_decoder,rs_decoder,86,72,8,2.000000,2179.637051,120.76709,1.008825
N86_K76_GF8_TT2T010_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,76,8,2.000000,219.837239,1357.379639,0.310975
N86_K78_GF8_TT2T008_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,78,8,2.000000,107.629559,1505.066284,0.111627
N86_K80_GF8_TT2T006_CLK2.000ns_TT_rs_decoder,rs_decoder,86,80,8,2.000000,1798.763718,41.3125,0.721129
N86_K84_GF8_TT2T002_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,84,8,2.000000,53.61066,1449.312744,0.0719
N86_K42_GF8_TT2T044_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,42,8,2.000000,939.374814,918.335938,1.353203
