target_post_BER,target_label,input_preFEC_BER,N,K,t,rate,m,total_pj_per_bit,enc_CLK_NS,enc_total_dyn_mw,enc_pj_per_bit,CLK_NS,total_dyn_mw,fclk_hz,throughput_bps,pj_per_bit
9.999999999999999e-31,1e-30,9.999999999999999e-31,86,86,0,1.0,8,0.0,1.0,0.0,0.0,1.0,0.0,1000000000.0,4000000000.0,0.0
9.999999999999999e-31,1e-30,5.551115123125783e-17,86,84,1,0.9767441860465116,8,0.3132195761904762,0.8,0.17975,0.01840297619047619,0.8,1.439802,1250000000.0,4883720930.232558,0.2948166
9.999999999999999e-31,1e-30,1.0295480024069549e-12,86,82,2,0.9534883720930232,8,0.37210050000000006,0.8,0.337133,0.0353578512195122,0.8,1.605401,1250000000.0,4767441860.465116,0.3367426487804879
9.999999999999999e-31,1e-30,2.6496127247810367e-10,86,80,3,0.9302325581395348,8,0.4354794900000001,0.8,0.472574,0.05080170500000001,0.8,1.789199,1250000000.0,4651162790.697674,0.38467778500000005
9.999999999999999e-31,1e-30,7.852911949157715e-09,86,78,4,0.9069767441860463,8,0.5064756102564103,0.8,0.62158,0.06853317948717949,0.8,1.986018,1250000000.0,4534883720.930232,0.43794243076923084
9.999999999999999e-31,1e-30,7.832050323486327e-08,86,76,5,0.8837209302325582,8,0.578907755263158,0.8,0.777517,0.08798218684210526,0.8,2.169206,1250000000.0,4418604651.16279,0.49092556842105267
9.999999999999999e-31,1e-30,4.1580200195312505e-07,86,74,6,0.8604651162790697,8,0.6538626486486486,0.8,0.939386,0.1091718864864865,0.8,2.343437,1250000000.0,4302325581.395349,0.5446907621621622
9.999999999999999e-31,1e-30,1.48773193359375e-06,86,72,7,0.8372093023255814,8,0.7329496916666666,0.8,1.080801,0.129095675,0.8,2.527761,1250000000.0,4186046511.6279073,0.6038540166666666
9.999999999999999e-31,1e-30,4.0740966796875e-06,86,70,8,0.813953488372093,8,0.8220563085714285,0.8,1.253064,0.15394786285714285,0.8,2.719046,1250000000.0,4069767441.860465,0.6681084457142857
9.999999999999999e-31,1e-30,9.2315673828125e-06,86,68,9,0.7906976744186046,8,0.9103445264705882,0.8,1.402969,0.17743431470588236,0.8,2.897552,1250000000.0,3953488372.0930233,0.7329102117647058
9.999999999999999e-31,1e-30,1.8249511718750003e-05,86,66,10,0.7674418604651163,8,1.0037533,0.8,1.569481,0.2045081303030303,0.8,3.066871,1250000000.0,3837209302.3255816,0.7992451696969697
9.999999999999999e-31,1e-30,3.2470703125e-05,86,64,11,0.7441860465116279,8,1.10823066875,0.8,1.721232,0.23129055,0.8,3.263033,1250000000.0,3720930232.5581393,0.87694011875
9.999999999999999e-31,1e-30,5.334472656250001e-05,86,62,12,0.7209302325581395,8,1.2083607548387096,0.8,1.854128,0.25718549677419356,0.8,3.428655,1250000000.0,3604651162.7906976,0.9511752580645162
9.999999999999999e-31,1e-30,8.215332031249999e-05,86,60,13,0.6976744186046512,8,1.3225517166666665,0.8,2.014243,0.2887081633333333,0.8,3.606431,1250000000.0,3488372093.023256,1.0338435533333332
9.999999999999999e-31,1e-30,0.0001201171875,86,58,14,0.6744186046511628,8,1.4416381655172414,0.8,2.159988,0.3202740827586207,0.8,3.781344,1250000000.0,3372093023.255814,1.1213640827586207
