tech,target_post_BER,input_preFEC_BER,n,rate,clk_ns,area_total_um2,area_total_mm2,throughput_gbps,area_per_gbps,Gbps_per_mm2,Gbps_per_mm
ASAP7,1e-27,6.10178574333986e-16,86,0.9767441860465116,0.8,1684.223241,0.001684223241,3.204941860465116,0.0005255082039945,1902.9198638549815,78.09447822208308
ASAP7,1e-27,1.0302755981683727e-11,86,0.9534883720930232,0.8,1867.304298,0.001867304298,3.054142441860464,0.0006114005268406,1635.5890387719035,70.67759122066222
ASAP7,1e-27,1.4901161193847655e-09,86,0.9302325581395348,0.8,2027.975897,0.002027975897,2.906976744186045,0.000697623708568,1433.4375218592872,64.55206844314614
ASAP7,1e-27,3.129243850708008e-08,86,0.9069767441860463,0.8,2195.456354,0.002195456354,2.76344476744186,0.0007944636273777,1258.7108654685921,58.97777509283812
ASAP7,1e-27,2.47955322265625e-07,86,0.8837209302325582,0.8,2363.345053,0.002363345053,2.623546511627907,0.0009008207182626,1110.0988018222774,53.966617821419526
ASAP7,1e-27,1.1177062988281251e-06,86,0.8604651162790697,0.8,2533.59571,0.00253359571,2.487281976744186,0.0010186202182498,981.7201564270829,49.414723021459565
ASAP7,1e-27,3.5247802734375e-06,86,0.8372093023255814,0.8,2700.361749,0.002700361749,2.3546511627906974,0.0011468202983407,871.9761949163565,45.31224736520587
ASAP7,1e-27,8.773803710937501e-06,86,0.813953488372093,0.8,2876.284027,0.002876284027,2.2256540697674416,0.0012923320232333,773.794955183486,41.49939627476092
ASAP7,1e-27,1.8432617187500003e-05,86,0.7906976744186046,0.8,3042.991746,0.003042991746,2.100290697674418,0.0014488431288913,690.2058477270737,38.074045246882534
ASAP7,1e-27,3.424072265625e-05,86,0.7674418604651163,0.8,3213.417363,0.003213417363,1.978561046511628,0.0016241183807118,615.7186642772328,34.90325149250573
ASAP7,1e-27,5.7861328125e-05,86,0.7441860465116279,0.8,3389.062621,0.003389062621,1.8604651162790693,0.0018216211587875,548.9615638114434,31.958157638530995
ASAP7,1e-27,9.09423828125e-05,86,0.7209302325581395,0.8,3546.9057000000003,0.0035469057,1.746002906976744,0.0020314431813527,492.26087600150856,29.317041468905973
ASAP7,1e-27,0.000134765625,86,0.6976744186046512,0.8,3719.270458,0.003719270458,1.635174418604651,0.0022745405112035,439.6492368785543,26.81237000533277
ASAP7,1e-27,0.000191162109375,86,0.6744186046511628,0.8,3886.036495,0.003886036495,1.5279796511627906,0.0025432514706872,393.19745275907155,24.511175139207502
ASAP7,1e-27,0.0002607421875,86,0.6511627906976745,0.8,4049.594934,0.004049594934,1.4244186046511629,0.0028429809332571,351.7434775246,22.3836983863422
ASAP7,1e-27,0.0003447265625,86,0.627906976744186,0.8,4212.992993,0.0042129929929999,1.3244912790697672,0.0031808386054145,314.38250224258053,20.40580511796654
ASAP7,1e-27,0.0004433593749999,86,0.6046511627906976,0.8,4388.97359,0.0043889735899999,1.2281976744186045,0.0035735074910295,279.8371075225888,18.53902059644124
ASAP7,1e-27,0.00055859375,86,0.5813953488372093,0.8,4569.415668,0.0045694156679999,1.1355377906976742,0.0040240102138675,248.50831554895854,16.79852920967978
ASAP7,1e-27,0.000689453125,86,0.5581395348837209,0.8,4737.843827,0.004737843827,1.0465116279069766,0.0045272729902444,220.88352130627894,15.203853901562569
ASAP7,1e-27,0.000837890625,86,0.5348837209302325,0.8,4903.443465,0.004903443465,0.9611191860465116,0.0051018058282344,196.00902771834276,13.725452166629038
ASAP7,1e-27,0.00100390625,86,0.5116279069767442,0.8,5075.997763,0.005075997763,0.879360465116279,0.0057723743156099,173.23893866268418,12.342587803158157
