Name,Process_nm,Reach_mm,Gbps_per_mm,Link_pJ_per_bit,BER,BER_target,Chosen_FEC_dataset,Base_node_nm,Target_model_node_nm,FEC_code_rate,FEC_energy_pJ_source,FEC_energy_pJ_scaled,FoM_raw,FoM_fec_unscaled,FoM_fec_scaled,Energy_factor_base,Energy_factor_target,Energy_scaling_source,Area_scaling_source,FEC_area_scale_factor,FEC_area_total_um2,FEC_area_total_um2_scaled,FEC_area_per_gbps_unscaled,FEC_area_per_gbps_scaled,FEC_p_correctable,FEC_encoder_energy_pJ,FEC_syndrome_energy_pJ,FEC_decoder_energy_pJ
OCP BoW,12,25.0,500,0.3,1e-20,1e-30,ASAP7,7,14,0.9767441860465116,0.026540189909297053,0.04627314880864428,1666.6666666666667,1463.5807762416046,1381.8618421325095,0.06535800000000003,0.11395248,Polynomial_14nm,DeepScale_14nm,2.941176470588235,1684.223241,4953.597767647058,0.0005255082039945578,0.001545612364689876,0.0,0.018841142290249434,0.00769904761904762,0.4492443428571429
OCP BoW,12,25.0,500,0.3,1e-20,1e-15,ASAP7,7,14,1.0,0.0,0.0,1666.6666666666667,1666.6666666666667,1666.6666666666667,0.06535800000000003,0.11395248,Polynomial_14nm,DeepScale_14nm,,,,,,0.0,0.0,0.0,0.0
SuperCHIPS,16,0.5,1200,0.028,1e-25,1e-30,ASAP7,7,16,0.9767441860465116,0.026540189909297053,0.05777933916205033,42857.142857142855,21230.93209704909,13558.671820861035,0.06535800000000003,0.14228767999999997,Polynomial_16nm,DeepScale_16nm,3.2258064516129035,1684.223241,5432.978196774194,0.0005255082039945578,0.0016951877548211547,0.0,0.018841142290249434,0.00769904761904762,0.4492443428571429
SuperCHIPS,16,0.5,1200,0.028,1e-25,1e-15,ASAP7,7,16,1.0,0.0,0.0,42857.142857142855,42857.142857142855,42857.142857142855,0.06535800000000003,0.14228767999999997,Polynomial_16nm,DeepScale_16nm,,,,,,0.0,0.0,0.0,0.0
UCD-TAMU EPIC,12,200.0,8060,0.08,1e-12,1e-30,ASAP7,7,14,0.9534883720930232,0.05146717358196093,0.08973365262484972,100750.0,56771.35459800527,44259.90130320585,0.06535800000000003,0.11395248,Polynomial_14nm,DeepScale_14nm,2.941176470588235,1867.304298,5492.071464705882,0.0006114005268406903,0.001798236843649089,6.879847800226804e-10,0.0370826244497323,0.014384548780487805,0.5256470615110055
UCD-TAMU EPIC,12,200.0,8060,0.08,1e-12,1e-15,ASAP7,7,14,0.9767441860465116,0.026540190213073495,0.046273149338282256,100750.0,72594.97086577737,61418.992267765665,0.06535800000000003,0.11395248,Polynomial_14nm,DeepScale_14nm,2.941176470588235,1684.223241,4953.597767647058,0.0005255082039945578,0.001545612364689876,6.879847797887708e-10,0.018841142290249434,0.00769904761904762,0.4492443428571429
UCIe 36G,3,5.0,11800,0.45,1e-15,1e-30,ASAP7,7,3,0.9534883720930232,0.051467173230571574,0.02521891488298007,26222.222222222223,21495.54342509902,22630.4076056079,0.06535800000000003,0.03202542000000001,TSMC_public_3nm,TSMC_public_3nm,0.319693094629156,1867.304298,596.9642896419438,0.0006114005268406903,0.00019546052648359666,6.874500968477002e-13,0.0370826244497323,0.014384548780487805,0.5256470615110055
UCIe 36G,3,5.0,11800,0.45,1e-15,1e-15,ASAP7,7,3,1.0,0.0,0.0,26222.222222222223,26222.222222222223,26222.222222222223,0.06535800000000003,0.03202542000000001,TSMC_public_3nm,TSMC_public_3nm,,,,,,0.0,0.0,0.0,0.0
UCIe 64G,3,5.0,21000,0.5,1e-15,1e-30,ASAP7,7,3,0.9534883720930232,0.051467173230571574,0.02521891488298007,42000.0,34771.204152656675,36431.8088479509,0.06535800000000003,0.03202542000000001,TSMC_public_3nm,TSMC_public_3nm,0.319693094629156,1867.304298,596.9642896419438,0.0006114005268406903,0.00019546052648359666,6.874500968477002e-13,0.0370826244497323,0.014384548780487805,0.5256470615110055
UCIe 64G,3,5.0,21000,0.5,1e-15,1e-15,ASAP7,7,3,1.0,0.0,0.0,42000.0,42000.0,42000.0,0.06535800000000003,0.03202542000000001,TSMC_public_3nm,TSMC_public_3nm,,,,,,0.0,0.0,0.0,0.0
