tech,BER Target,input_preFEC_BER,n,t,rate,energy,p_correctable,m_bits
ASAP7,9.999999999999999e-31,0.00103125,86,23,0.4651162790697674,0.9155696808109053,0.5082899608980578,8
ASAP7,9.999999999999999e-31,0.00087109375,86,22,0.4883720930232558,0.862400556807364,0.4509543448538827,8
ASAP7,9.999999999999999e-31,0.000728515625,86,21,0.5116279069767442,0.8098805789986525,0.39431874404751405,8
ASAP7,9.999999999999999e-31,0.000599609375,86,20,0.5348837209302325,0.7577558731670979,0.33810938991607237,8
ASAP7,9.999999999999999e-31,0.0004853515625,86,19,0.5581395348837209,0.7075306059352464,0.28394832009047716,8
ASAP7,9.999999999999999e-31,0.00038623046875,86,18,0.5813953488372093,0.660646857963172,0.23339062099692645,8
ASAP7,9.999999999999999e-31,0.00030078125,86,17,0.6046511627906976,0.6175854976433196,0.18695484331748802,8
ASAP7,9.999999999999999e-31,0.0002285156249999,86,16,0.627906976744186,0.5791414822296566,0.1454982395410684,8
ASAP7,9.999999999999999e-31,0.000168701171875,86,15,0.6511627906976745,0.5458450752264704,0.10959262621070567,8
ASAP7,9.999999999999999e-31,0.0001201171875,86,14,0.6744186046511628,0.517774737020241,0.0793226121041104,8
ASAP7,9.999999999999999e-31,8.215332031249999e-05,86,13,0.6976744186046512,0.4951788222677066,0.05495601369387641,8
ASAP7,9.999999999999999e-31,5.334472656250001e-05,86,12,0.7209302325581395,0.47763443141729944,0.03603679175106453,8
ASAP7,9.999999999999999e-31,3.2470703125e-05,86,11,0.7441860465116279,0.4647034612597592,0.022092511984822136,8
ASAP7,9.999999999999999e-31,1.8249511718750003e-05,86,10,0.7674418604651163,0.45578695700198124,0.012477283707859015,8
ASAP7,9.999999999999999e-31,9.2315673828125e-06,86,9,0.7906976744186046,0.45008751886376613,0.006331220501354753,8
ASAP7,9.999999999999999e-31,4.0740966796875e-06,86,8,0.813953488372093,0.44681203466239267,0.002799059532966357,8
ASAP7,9.999999999999999e-31,1.48773193359375e-06,86,7,0.8372093023255814,0.4451650726828406,0.001023036672543408,8
ASAP7,9.999999999999999e-31,4.1580200195312505e-07,86,6,0.8604651162790697,0.4444816240197467,0.0002860309221675753,8
ASAP7,9.999999999999999e-31,7.832050323486327e-08,86,5,0.8837209302325582,0.4442663459865617,5.38830565638527e-05,8
ASAP7,9.999999999999999e-31,7.852911949157715e-09,86,4,0.9069767441860463,0.44422138870620737,5.402788869124566e-06,8
ASAP7,9.999999999999999e-31,2.6496127247810367e-10,86,3,0.9302325581395348,0.44421654757615153,1.8229334087591425e-07,8
ASAP7,9.999999999999999e-31,1.0295480024069549e-12,86,2,0.9534883720930232,0.44421637918662205,7.083027495377239e-10,8
ASAP7,9.999999999999999e-31,5.551115123125783e-17,86,1,0.9767441860465116,0.44421637852979057,0.0,8
ASAP7,9.999999999999999e-31,9.999999999999999e-31,86,0,1.0,0.0,0.0,8
ASAP7,9.999999999999999e-26,0.001693359375,86,23,0.4651162790697674,1.0825867184855151,0.6883949546216548,8
ASAP7,9.999999999999999e-26,0.001458984375,86,22,0.4883720930232558,1.0319382335541643,0.6337775024881628,8
ASAP7,9.999999999999999e-26,0.001244140625,86,21,0.5116279069767442,0.9777611706732345,0.5753549624527988,8
ASAP7,9.999999999999999e-26,0.001048828125,86,20,0.5348837209302325,0.9210566281962794,0.5142068819389507,8
ASAP7,9.999999999999999e-26,0.000873046875,86,19,0.5581395348837209,0.863084860439743,0.45169227257150124,8
ASAP7,9.999999999999999e-26,0.00071484375,86,18,0.5813953488372093,0.8045686186161791,0.3885905225159522,8
ASAP7,9.999999999999999e-26,0.0005751953125,86,17,0.6046511627906976,0.747352850063812,0.32689115471797214,8
ASAP7,9.999999999999999e-26,0.0004531249999999,86,16,0.627906976744186,0.6926366051461187,0.26788718072413764,8
