tech,target_post_BER,input_preFEC_BER,n,rate,clk_ns,area_total_um2,area_total_mm2,throughput_gbps,area_per_gbps
ASAP7,1e-27,6.10178574333986e-16,86,0.9767441860465116,0.8,1684.223241,0.001684223241,3.204941860465116,0.0005255082039945578
ASAP7,1e-27,1.0302755981683729e-11,86,0.9534883720930232,0.8,1867.304298,0.001867304298,3.054142441860464,0.0006114005268406903
ASAP7,1e-27,1.4901161193847655e-09,86,0.9302325581395348,0.8,2027.975897,0.002027975897,2.906976744186045,0.0006976237085680004
ASAP7,1e-27,3.129243850708008e-08,86,0.9069767441860463,0.8,2195.456354,0.002195456354,2.76344476744186,0.0007944636273777779
ASAP7,1e-27,2.47955322265625e-07,86,0.8837209302325582,0.8,2363.345053,0.002363345053,2.623546511627907,0.0009008207182626039
ASAP7,1e-27,1.1177062988281251e-06,86,0.8604651162790697,0.8,2533.59571,0.0025335957100000002,2.487281976744186,0.0010186202182498176
ASAP7,1e-27,3.5247802734375e-06,86,0.8372093023255814,0.8,2700.361749,0.002700361749,2.3546511627906974,0.001146820298340741
ASAP7,1e-27,8.773803710937501e-06,86,0.813953488372093,0.8,2876.284027,0.002876284027,2.2256540697674416,0.0012923320232333063
ASAP7,1e-27,1.8432617187500003e-05,86,0.7906976744186046,0.8,3042.991746,0.003042991746,2.100290697674418,0.00144884312889135
ASAP7,1e-27,3.424072265625e-05,86,0.7674418604651163,0.8,3213.417363,0.003213417363,1.9785610465116277,0.0016241183807118459
ASAP7,1e-27,5.7861328125e-05,86,0.7441860465116279,0.8,3389.062621,0.003389062621,1.8604651162790695,0.0018216211587875003
ASAP7,1e-27,9.09423828125e-05,86,0.7209302325581395,0.8,3546.9057000000003,0.0035469057,1.746002906976744,0.002031443181352758
ASAP7,1e-27,0.000134765625,86,0.6976744186046512,0.8,3719.270458,0.003719270458,1.635174418604651,0.002274540511203556
ASAP7,1e-27,0.000191162109375,86,0.6744186046511628,0.8,3886.036495,0.003886036495,1.5279796511627906,0.002543251470687277
ASAP7,1e-27,0.0002607421875,86,0.6511627906976745,0.8,4049.5949339999997,0.004049594934,1.4244186046511629,0.0028429809332571427
ASAP7,1e-27,0.0003447265625,86,0.627906976744186,0.8,4212.992993,0.0042129929929999995,1.3244912790697672,0.0031808386054145406
ASAP7,1e-27,0.0004433593749999,86,0.6046511627906976,0.8,4388.97359,0.004388973589999999,1.2281976744186045,0.0035735074910295856
ASAP7,1e-27,0.00055859375,86,0.5813953488372093,0.8,4569.415668,0.004569415667999999,1.1355377906976742,0.00402401021386752
ASAP7,1e-27,0.000689453125,86,0.5581395348837209,0.8,4737.843827,0.004737843827,1.0465116279069766,0.004527272990244445
ASAP7,1e-27,0.000837890625,86,0.5348837209302325,0.8,4903.443465,0.004903443465000001,0.9611191860465115,0.0051018058282344065
ASAP7,1e-27,0.00100390625,86,0.5116279069767442,0.8,5075.997763,0.0050759977630000005,0.879360465116279,0.005772374315609919
ASAP7,1e-15,6.062909960746763e-10,86,0.9767441860465116,0.8,1684.223241,0.001684223241,3.204941860465116,0.0005255082039945578
ASAP7,1e-15,1.0299682617187501e-07,86,0.9534883720930232,0.8,1867.304298,0.001867304298,3.054142441860464,0.0006114005268406903
ASAP7,1e-15,1.4896392822265626e-06,86,0.9302325581395348,0.8,2027.975897,0.002027975897,2.906976744186045,0.0006976237085680004
ASAP7,1e-15,7.87353515625e-06,86,0.9069767441860463,0.8,2195.456354,0.002195456354,2.76344476744186,0.0007944636273777779
ASAP7,1e-15,2.484130859375e-05,86,0.8837209302325582,0.8,2363.345053,0.002363345053,2.623546511627907,0.0009008207182626039
ASAP7,1e-15,5.810546875e-05,86,0.8604651162790697,0.8,2533.59571,0.0025335957100000002,2.487281976744186,0.0010186202182498176
ASAP7,1e-15,0.0001125488281249,86,0.8372093023255814,0.8,2700.361749,0.002700361749,2.3546511627906974,0.001146820298340741
ASAP7,1e-15,0.00019140625,86,0.813953488372093,0.8,2876.284027,0.002876284027,2.2256540697674416,0.0012923320232333063
ASAP7,1e-15,0.000296875,86,0.7906976744186046,0.8,3042.991746,0.003042991746,2.100290697674418,0.00144884312889135
ASAP7,1e-15,0.0004306640625,86,0.7674418604651163,0.8,3213.417363,0.003213417363,1.9785610465116277,0.0016241183807118459
ASAP7,1e-15,0.00059375,86,0.7441860465116279,0.8,3389.062621,0.003389062621,1.8604651162790695,0.0018216211587875003
ASAP7,1e-15,0.00078515625,86,0.7209302325581395,0.8,3546.9057000000003,0.0035469057,1.746002906976744,0.002031443181352758
ASAP7,1e-15,0.001005859375,86,0.6976744186046512,0.8,3719.270458,0.003719270458,1.635174418604651,0.002274540511203556
ASAP7,1e-15,0.0012558593749999,86,0.6744186046511628,0.8,3886.036495,0.003886036495,1.5279796511627906,0.002543251470687277
ASAP7,1e-15,0.00153515625,86,0.6511627906976745,0.8,4049.5949339999997,0.004049594934,1.4244186046511629,0.0028429809332571427
ASAP7,1e-15,0.00183984375,86,0.627906976744186,0.8,4212.992993,0.0042129929929999995,1.3244912790697672,0.0031808386054145406
ASAP7,1e-15,0.00217578125,86,0.6046511627906976,0.8,4388.97359,0.004388973589999999,1.2281976744186045,0.0035735074910295856
ASAP7,1e-15,0.0025390624999999,86,0.5813953488372093,0.8,4569.415668,0.004569415667999999,1.1355377906976742,0.00402401021386752
ASAP7,1e-15,0.0029296875,86,0.5581395348837209,0.8,4737.843827,0.004737843827,1.0465116279069766,0.004527272990244445
